family_cluster,family_name,super5_group,purity,n_notes,degenerate_cut
1,Green Aromatics,1,1.0,53,True
3,Provenance-Qualified,1,1.0,32,True
4,Universal Backbone,1,1.0,76,True
5,Berry Confection,1,1.0,20,True
6,Modern Rose–Musk,1,1.0,40,True
7,Animalic Oud,1,1.0,13,True
9,Boozy Dark Gourmand,1,1.0,21,True
10,Modifier-Qualified,1,1.0,23,True
12,Tropical Coastal,1,1.0,23,True
13,Tea–Anise (low coherence),1,1.0,30,True
14,Leather–Incense Oud,1,1.0,48,True
0,Fresh Florals,1,0.984375,64,True
11,Nutty–Dairy Gourmand,1,0.9583333333333334,24,True
8,Resinous Conifer,1,0.9375,16,True
2,Balsamic Vanilla,1,0.8888888888888888,9,True
