canonical_note,cluster,svd_x,svd_y,cluster_name,n_products
freesia,0,4.117286824731597,-4.572214980783165,sour,1876
pear,0,4.482797536923306,-4.07642629112933,sour,1804
peony,0,5.197533429909953,-5.292295830573304,sour,1752
magnolia,0,4.503210044903375,-3.553610751846181,sour,1507
gardenia,0,4.211798934658437,-3.3070856775469997,sour,1153
orchid,0,5.45786684512286,-5.152932062728665,sour,861
lily,0,3.7310648940214524,-3.2558083333451107,sour,800
mimosa,0,4.873625202428535,-2.443523809091703,sour,612
litchi,0,5.655191608894454,-5.339487290367948,sour,600
apricot,0,5.227126880097378,-3.8303424722990185,sour,577
lotus,0,6.464252622269306,-5.337507544343226,sour,542
cyclamen,0,4.361714053650797,-3.0162558486295135,sour,484
honeysuckle,0,6.523347517534697,-5.0162418090934615,sour,467
melon,0,4.392293373299458,-3.1416867601060168,sour,463
passionfruit,0,6.070192007283671,-5.111818287432709,sour,450
blackberry,0,6.3032474585432166,-4.608621036417636,sour,424
water lily,0,7.080573472834434,-5.797965687228389,sour,402
red apple,0,5.55839900452392,-4.144959771597909,sour,370
yuzu,0,6.757427050548918,-1.4915678189462436,sour,369
green tea,0,6.427126611297842,-1.0068082266342109,sour,311
lilac,0,5.382867333274529,-2.9022630586078133,sour,308
green leaves,0,6.066516632834027,-2.0716093530404653,sour,281
marigold,0,5.604927074249074,-0.5618163641868734,sour,265
watermelon,0,6.700609286425289,-5.2047294154081065,sour,264
pomegranate,0,8.294363353698763,-5.449925011295451,sour,262
red currant,0,7.105113199771073,-6.0527191464877586,sour,232
clementine,0,8.533796888939495,-3.754169281597509,sour,226
hyacinth,0,4.955221941701784,-2.199614017914244,sour,225
bamboo,0,7.194886324179431,-3.366395934722057,sour,222
nectarine,0,7.445514887906661,-6.700409551483156,sour,211
pomelo,0,6.40275476296323,-2.183054700557213,sour,191
cherry blossom,0,8.429031763704376,-6.2838738624244055,sour,188
teak wood,0,6.623975387220013,-0.43131805074645924,sour,159
cassia,0,5.7275534466150635,-1.269307475934952,sour,151
peach blossom,0,7.475813418960067,-4.060417668644886,sour,147
white rose,0,6.514058740477568,-3.4401339246279266,sour,130
mahogany,0,7.83443679486034,-1.3045495490115468,sour,124
cucumber,0,7.113173326088785,-2.1587988964396105,sour,117
passion flower,0,8.305869016713526,-7.195403752899655,sour,112
kumquat,0,6.758105370067829,-3.30246742659073,sour,111
quince,0,7.789613249084504,-3.7922388483268574,sour,111
almond blossom,0,6.9967463954873645,-4.934666416946505,sour,110
big strawberry,0,4.596757173036159,-4.4886049212992996,sour,108
cranberry,0,6.881902629975585,-3.1565590167328406,sour,106
cotton flower,0,7.002042644079273,-4.926645887219058,sour,100
hinoki wood,0,8.435999533255135,-0.6534300231509662,sour,99
sweet pea,0,6.582103327651247,-5.5165612628195175,sour,99
kiwi,0,6.558471003868204,-6.219155233885753,sour,97
wisteria,0,7.564297620237571,-3.933316860199946,sour,90
carambola,0,7.783205988502395,-5.881099071160395,sour,88
hiacynth,0,3.8148765814225483,-2.4252425886110487,sour,77
camellia,0,7.7302681729594,-3.7338022024227095,sour,66
papaya,0,7.227134160911267,-5.314943981192893,sour,63
crystal amber,0,7.401780850999122,-3.1491497578187566,sour,62
tulip,0,6.436066230241195,-3.533171234499202,sour,50
tea rose,0,7.36482447059711,-1.1917611913110484,sour,49
datura,0,6.21117396171128,-3.3816897261353907,sour,40
syringa,0,6.090517313631334,-3.609937267357384,sour,40
cactus,0,7.246606914828485,-3.890520484296946,sour,37
water hyacinth,0,5.763171593897008,-3.905002603936288,sour,34
cactus flower,0,6.390097240846931,-3.2174556249820467,sour,32
black violet,0,6.799745517231563,-0.787370870017324,sour,30
daisy,0,7.41011772680249,-3.076083007992082,sour,30
night blooming cereus,0,5.408906028764267,-3.4115247274437737,sour,30
mint,1,4.287088295384043,0.9726073003094171,camphor,1208
sage,1,4.189077896725163,1.9879405846111513,camphor,953
petitgrain,1,4.407983225908431,1.6656491026189548,camphor,798
basil,1,4.773514821800957,2.3206195897729667,camphor,764
rosemary,1,4.023839993601091,2.6959671848110562,camphor,748
cypress,1,5.698877785798558,4.139485402214836,camphor,738
clary sage,1,5.242970315076631,3.5536613316743546,camphor,722
galbanum,1,4.371714057149848,2.6768877461916745,camphor,695
bitter orange,1,5.779176358793505,2.0867555812500225,camphor,609
juniper,1,5.736158155179279,3.916024426581537,camphor,587
artemisia,1,4.081984901131733,3.0951191858243177,camphor,538
fig,1,7.346332314723629,0.28937193170683373,camphor,492
juniper berries,1,5.91969512971614,3.1382655840698237,camphor,430
thyme,1,5.469922921434191,3.8435687343645153,camphor,366
angelica,1,6.938407222165418,3.5097783212813125,camphor,321
mate,1,7.3922082919023815,2.08444702978779,camphor,274
citron,1,7.0313253313280875,1.6213129987104977,camphor,268
caraway,1,4.570484412907545,2.9648573330255807,camphor,258
fig leaf,1,7.911023219429397,1.2844286916224186,camphor,250
coumarin,1,5.675854720038259,1.3569243079688114,camphor,226
eucalyptus,1,8.196992748342847,3.6818460348915396,camphor,212
grass,1,8.51016438172301,1.0939070243780968,camphor,194
tarragon,1,3.990807448613227,2.0337071068870145,camphor,178
pine,1,6.782807027885571,4.313802637237704,camphor,177
wormwood,1,7.680015064789922,4.02367353822992,camphor,168
lemon verbena,1,5.48675811710898,0.4039216805300201,camphor,160
seaweed,1,8.734697865459857,2.9845030789300626,camphor,156
bay leaf,1,5.9405627059036075,3.8766476609761407,camphor,155
pine tree,1,6.886914280875413,3.766822173415627,camphor,139
myrtle,1,7.983951863966576,3.3765220242771625,camphor,135
mastic or lentisque,1,7.632779394235224,4.4454844419178805,camphor,128
cannabis,1,8.741119574108932,4.288631719348347,camphor,121
peppermint,1,8.421442034229912,4.689667613677745,camphor,104
tomato leaf,1,6.634983292766151,1.1362781377114577,camphor,98
lemongrass,1,6.40832996615787,0.7450290430735378,camphor,83
fennel,1,8.04260042901265,3.9174222701471804,camphor,82
absinthe,1,6.783360415829723,2.811560262220319,camphor,81
verbena,1,6.41040294413692,1.0024868637530242,camphor,81
fern,1,6.890844517727771,3.096878564638822,camphor,73
olive tree,1,7.527201066684194,2.307650653230782,camphor,73
gin,1,7.0620043934572,3.210301854031876,camphor,69
wildflowers,1,7.1509880782501325,0.20022629347618562,camphor,60
laurels,1,8.223764108628504,4.342900572682731,camphor,50
oregano,1,6.299673387937487,4.286296574304952,camphor,47
blood mandarin,1,7.3206389737566955,2.319196753155997,camphor,44
litsea cubeba,1,7.797873841050476,4.204964080306117,camphor,42
cedar needles,1,4.4923661126119825,2.1543327574032918,camphor,39
red cedar,1,8.283232421319536,3.658368730987333,camphor,38
green grass,1,6.094526782818274,0.21592770648234846,camphor,36
palmarosa,1,6.292935305785747,2.051341766521708,camphor,36
marjoram,1,6.204192101245919,4.795184758399154,camphor,34
red thyme,1,5.453943776479562,3.2554000908029566,camphor,32
buchu or agathosma,1,7.111395197432101,2.3829961893473035,camphor,31
bourbon vanilla,2,7.92919099293548,-0.19757764030709477,balsamic,348
peru balsam,2,8.092318250464395,2.3198806077568737,balsamic,269
tolu balsam,2,7.006989070918506,3.195047820927644,balsamic,252
vanilla absolute,2,9.0088571064947,1.66512610746753,balsamic,212
ebony wood,2,8.642633120618356,0.05891519440118842,balsamic,131
skin,2,8.525120270937961,-1.6552056307512357,balsamic,55
night blooming jasmine,2,7.460126359344281,0.31811578472209556,balsamic,54
mysore sandalwood,2,6.56431466630421,3.3054669298891897,balsamic,36
gunpowder,2,9.432990871184838,2.758518681491047,balsamic,30
madagascar vanilla,3,8.795910967543064,1.0946282881964216,tuberose,468
haitian vetiver,3,8.073840593867022,5.0470794322416515,tuberose,392
calabrian bergamot,3,8.20773643277116,2.9091800265048327,tuberose,330
egyptian jasmine,3,8.582269763662268,1.076476193476137,tuberose,244
sicilian lemon,3,7.248926466669209,0.5500740683940331,tuberose,230
indonesian patchouli leaf,3,10.028043689937729,4.678303257216307,tuberose,212
australian sandalwood,3,9.56889956962487,3.1127648281289546,tuberose,190
italian lemon,3,8.124642499060284,0.04984121680907949,tuberose,185
sicilian bergamot,3,8.968099536262791,0.34820497497406144,tuberose,158
italian mandarin,3,9.347998088779935,-0.09679515361816349,tuberose,154
siam benzoin,3,8.943922666422448,4.141448321229128,tuberose,143
indian jasmine,3,8.895486515427242,1.4578993445773178,tuberose,115
guatemalan cardamom,3,8.644028682441549,4.59958900776877,tuberose,86
sicilian mandarin,3,7.512567862463506,1.5931226177766962,tuberose,85
indian tuberose,3,8.427848095435566,0.9858560763375602,tuberose,81
tunisian neroli,3,8.379311137740853,4.036613335999315,tuberose,80
bourbon geranium,3,7.199365278183947,3.6952178260666493,tuberose,71
java vetiver oil,3,9.192697819222433,5.880433624686818,tuberose,69
ceylon cinnamon,3,7.780575018484738,3.140359270547865,tuberose,63
spanish labdanum,3,8.773010101556908,4.911759509132495,tuberose,62
tuscan iris,3,6.434622007959039,3.4241408938426865,tuberose,62
texas cedar,3,8.645604286734327,4.419494038055067,tuberose,61
brazilian orange,3,9.02587841574599,1.4725833792424283,tuberose,55
tunisian orange blossom,3,6.321805333183803,1.4696982202910736,tuberose,51
sicilian orange,3,6.005887751165652,1.7321855361297935,tuberose,49
bourbon vetiver,3,6.27986134230323,2.483147438643451,tuberose,41
cistus incanus,3,8.039717958580361,4.878873457220484,tuberose,38
chinese osmanthus,3,7.53016930170585,2.45623901660258,tuberose,36
tahitian vetiver,3,5.69689140454499,2.257505074430655,tuberose,31
african geranium,3,5.072639746749072,1.7812572838405365,tuberose,30
madagascar vetiver,3,7.169724360394419,3.044494098217873,tuberose,30
madagascar ylang ylang,3,6.252101271405185,1.682515330325002,tuberose,30
musk,4,2.229206121230853,-2.3958762469156856,soapy,12704
bergamot,4,0.6820913155879968,0.1371654879014077,soapy,9531
sandalwood,4,1.167631815879271,-1.0020183699134253,soapy,9377
vanilla,4,2.9799606463333923,-2.114805460210126,soapy,9178
jasmine,4,1.5427004919336578,-1.559870119841091,soapy,9170
amber,4,1.0106651803418374,-0.5954983311012245,soapy,8944
patchouli,4,1.2360191327239471,0.7362282394643078,soapy,8540
cedar,4,1.4927356352485956,0.568559414269659,soapy,7953
rose,4,1.102670103288212,-0.9188370086826863,soapy,6615
vetiver,4,2.120475826774882,1.5507185000407087,soapy,4631
mandarin,4,1.7359321698232466,-1.5802774414465213,soapy,4484
tonka bean,4,2.6263728496273906,-0.12093403708315692,soapy,4467
violet,4,1.9187232889772003,-0.8529749686958232,soapy,3556
lemon,4,2.0970142341120193,0.2766431610966478,soapy,3396
pink pepper,4,2.7364066862175385,0.5638785560436216,soapy,3302
orange blossom,4,2.4963322325308863,-1.1401175472291705,soapy,3218
cardamom,4,2.721085405936591,1.8585073873199935,soapy,3050
lavender,4,2.5659703664792186,1.9746096532480175,soapy,3031
iris,4,1.578880881405718,-0.26666435431000696,soapy,2703
lily of the valley,4,2.126162041526799,-2.08706194757674,soapy,2663
grapefruit,4,2.3100592047210986,-0.03200919476782724,soapy,2591
oakmoss,4,3.1311840736474963,2.30760434149093,soapy,2265
ylang ylang,4,2.428030454689567,-0.31725252607224774,soapy,2247
benzoin,4,3.2200672741592764,1.522643903372455,soapy,2171
cinnamon,4,3.2604774045296527,1.692028491788669,soapy,2074
geranium,4,2.122811495782408,1.5067909553295378,soapy,2065
ginger,4,3.308983664697462,1.0621106832193759,soapy,2019
peach,4,2.813702906394255,-2.861628995267815,soapy,1997
black currant,4,2.9897890180880906,-2.288375875200992,soapy,1879
orange,4,2.3658286820160948,-0.44698600391420473,soapy,1821
neroli,4,2.559424106581932,0.044808761604463676,soapy,1760
nutmeg,4,2.929417285773324,2.4041977101639005,soapy,1708
tuberose,4,2.700874554149121,-0.43507506773933236,soapy,1586
heliotrope,4,3.54512844271276,-2.256406563968881,soapy,1374
orris,4,3.320293343239382,0.9915010744832241,soapy,1318
apple,4,2.529510486977647,-1.3132236840026303,soapy,1285
